ID	EBV
3DD.003E2A2D87_CX-39	0.311
3DD.003E2A321E_CX-152	-1.108
3DD.003E2A3223_CX-152	-1.042
3DD.003E2A32D4_CX-68	-0.127
3DD.003E091181_CX-23	0.421
3DD.003E2A2B51_CX-97	-0.466
3DD.003E2A2D7B_CX-35	-0.19
3DD.003E09117C_CX-23	0.462
3DD.003E2A3259_CX-151	-1.344
3DD.003E2A32C5_CX-61	0.463
3DD.003E090FF7_CX-12	0.12
3DD.003E2A31B4_CX-125	-0.908
3DD.003E091046_CX-13	0.854
3DD.003E2A2BE9_CX-77	-1.12
3DD.003E2A2C0E_CX-72	0.943
3DD.003E090FFE_CX-7	0.764
3DD.003E2A326B_CX-151	-1.393
3DD.003E2A3294_CX-50	0.197
3DD.003E09101F_CX-7	0.756
3DD.003E2A31FA_CX-134	0.494
3DD.003E2A2D02_CX-115	-0.446
3DD.003E2A2BF1_CX-70	-0.792
3DD.003E2A2D1A_CX-114	-0.861
3DD.003E2A2D4C_CX-104	0.691
3DD.003E091048_CX-12	0.066
3DD.003E2A2D08_CX-114	-0.849
3DD.003E2A2DBD_CX-38	0.688
3DD.003E2A31D3_CX-141	-1.279
3DD.003E0911CF_CX-23	0.45
3DD.003E2A2DC2_CX-38	0.713
3DD.003E2A2D33_CX-115	-0.422
3DD.003E2A2DB9_CX-36	0.081
3DD.003E2A3258_CX-151	-1.372
3DD.003E2A32C4_CX-61	0.43
3DD.003E2A2D50_CX-114	-0.849
3DD.003E091047_CX-13	0.874
3DD.003E2A31B8_CX-134	0.474
3DD.003E2A2BD9_CX-70	-0.754
3DD.003E2A3295_CX-50	0.246
3DD.003E2A329A_CX-48	-0.154
3DD.003E2A2BD5_CX-97	-0.474
3DD.003E2A31FB_CX-134	0.458
3DD.003E2A3252_CX-152	-1.133
3DD.003E2A3288_CX-48	-0.297
3DD.003E2A3202_CX-144	-0.393
3DD.003E2A31CF_CX-128	-1.069
3DD.003E2A2D86_CX-30	-1.223
