id	sex
ID2468	F
ID2831	F
ID3011	F
ID3008	F
ID3081	F
ID3013	F
ID3065	F
ID3075	F
ID3014	F
ID2667	F
ID2654	F
ID2649	F
ID2599	F
ID2729	F
ID2840	F
ID2882	F
ID2924	F
ID2927	F
ID2903	F
ID2982	F
ID2952	F
ID2566	M
ID2777	M
ID2771	M
ID2753	M
ID2814	M
ID3071	M
ID3038	M
ID3012	M
ID2641	M
ID2643	M
ID2663	M
ID2670	M
ID2625	M
ID2678	M
ID2677	M
ID2603	M
ID2605	M
ID2712	M
ID2746	M
ID2564	M
ID2556	M
ID2558	M
ID2832	M
ID3020	M
ID3098	M
ID2644	M
ID2628	M
ID2682	M
ID2860	M
ID2965	M
ID2935	M
ID2511	M
ID2537	M
ID2784	M
ID3090	M
ID3058	M
ID3087	M
ID3045	M
ID3040	M
ID3076	M
ID3007	M
ID2662	M
ID2658	M
ID2718	M
ID2721	M
ID2884	M
ID2897	M
ID2455	M
ID2557	M
ID2786	M
ID3063	M
ID3031	M
ID2636	M
ID2642	M
ID2632	M
ID2596	M
ID2730	M
ID2743	M
ID2846	M
ID2906	M
ID2880	M
ID2872	M
ID2898	M
