id	male_parent	female_parent
ID2422	ID1890	ID2330
ID2423	ID1671	ID1605
ID2424	ID2239	ID2226
ID2425	ID1890	ID2330
ID2426	ID1890	ID2330
ID2427	ID1620	ID2056
ID2428	ID1679	ID2272
ID2429	ID1620	ID2056
ID2430	ID1671	ID1605
ID2431	ID1890	ID2330
ID2432	ID1620	ID2056
ID2433	ID1679	ID2272
ID2434	ID1671	ID1605
ID2435	ID1679	ID2272
ID2436	ID1679	ID2272
ID2437	ID1679	ID2272
ID2438	ID1890	ID2330
ID2439	ID2239	ID2226
ID2440	ID1890	ID2330
ID2441	ID1890	ID2330
ID2442	ID1620	ID2056
ID2443	ID1890	ID2330
ID2444	ID1671	ID1605
ID2445	ID1620	ID2056
ID2446	ID2239	ID2226
ID2447	ID1890	ID2330
ID2448	ID1671	ID1605
ID2449	ID1890	ID2330
ID2450	ID1620	ID2056
ID2451	ID1890	ID2330
ID2452	ID1679	ID2272
ID2453	ID1620	ID2056
ID2454	ID1890	ID2330
ID2455	ID1620	ID2056
ID2456	ID1890	ID2330
ID2457	ID1671	ID1605
ID2458	ID1679	ID2272
ID2459	ID1671	ID1605
ID2460	ID1620	ID2056
ID2461	ID1671	ID1605
ID2462	ID1671	ID1605
ID2463	ID1679	ID2272
ID2464	ID1890	ID2330
ID2465	ID1890	ID2330
ID2466	ID1620	ID2056
ID2467	ID1679	ID2272
ID2468	ID2239	ID2226
ID2469	ID1620	ID2056
ID2470	ID1890	ID2330
ID2471	ID1620	ID2056
ID2472	ID1679	ID2272
ID2473	ID1679	ID2272
ID2474	ID2239	ID2226
ID2475	ID1671	ID1605
ID2476	ID1679	ID2272
ID2477	ID1671	ID1605
ID2478	ID1620	ID2056
ID2479	ID2239	ID2226
ID2480	ID1620	ID2056
ID2481	ID1620	ID2056
ID2482	ID2239	ID2226
ID2483	ID1890	ID2330
ID2484	ID1890	ID2330
ID2485	ID1890	ID2330
ID2486	ID1671	ID1605
ID2487	ID1671	ID1605
ID2488	ID1679	ID2272
ID2489	ID1671	ID1605
ID2490	ID1671	ID1605
ID2491	ID1679	ID2272
ID2492	ID1671	ID1605
ID2493	ID2239	ID2226
ID2494	ID1671	ID1605
ID2495	ID1679	ID2272
ID2496	ID1890	ID2330
ID2497	ID1671	ID1605
ID2498	ID1620	ID2056
ID2499	ID2239	ID2226
ID2500	ID2239	ID2226
ID2501	ID1679	ID2272
ID2502	ID1620	ID2056
ID2503	ID1620	ID2056
ID2504	ID1620	ID2056
ID2505	ID1671	ID1605
ID2506	ID1679	ID2272
ID2507	ID1679	ID2272
ID2508	ID2239	ID2226
ID2509	ID2239	ID2226
ID2510	ID1679	ID2272
ID2511	ID1679	ID2272
ID2512	ID1620	ID2056
ID2513	ID1671	ID1605
ID2514	ID1620	ID2056
ID2528	ID2269	ID2264
ID2529	ID1614	ID1695
ID2530	ID2269	ID2264
ID2531	ID2269	ID2264
ID2532	ID1614	ID1695
ID2533	ID1614	ID1695
ID2534	ID1614	ID1695
ID2535	ID1614	ID1695
