ID	EBV
3DD.003E2A2D87_CX-39	0.25
3DD.003E2A321E_CX-152	-0.209
3DD.003E2A3223_CX-152	-0.164
3DD.003E2A32D4_CX-68	-0.343
3DD.003E091181_CX-23	0.53
3DD.003E2A2B51_CX-97	-0.299
3DD.003E2A2D7B_CX-35	-0.452
3DD.003E09117C_CX-23	0.512
3DD.003E2A3259_CX-151	-0.505
3DD.003E2A32C5_CX-61	-0.159
3DD.003E090FF7_CX-12	0.36
3DD.003E2A31B4_CX-125	-0.755
3DD.003E091046_CX-13	0.591
3DD.003E2A2BE9_CX-77	0.581
3DD.003E2A2C0E_CX-72	0.98
3DD.003E090FFE_CX-7	-0.201
3DD.003E2A326B_CX-151	-0.572
3DD.003E2A3294_CX-50	0.855
3DD.003E09101F_CX-7	-0.229
3DD.003E2A31FA_CX-134	0.127
3DD.003E2A2D02_CX-115	-0.301
3DD.003E2A2BF1_CX-70	-0.14
3DD.003E2A2D1A_CX-114	-1.047
3DD.003E2A2D4C_CX-104	0.355
3DD.003E091048_CX-12	0.362
3DD.003E2A2D08_CX-114	-1.032
3DD.003E2A2DBD_CX-38	0.639
3DD.003E2A31D3_CX-141	-0.411
3DD.003E0911CF_CX-23	0.53
3DD.003E2A2DC2_CX-38	0.653
3DD.003E2A2D33_CX-115	-0.279
3DD.003E2A2DB9_CX-36	-0.308
3DD.003E2A3258_CX-151	-0.563
3DD.003E2A32C4_CX-61	-0.17
3DD.003E2A2D50_CX-114	-1.026
3DD.003E091047_CX-13	0.594
3DD.003E2A31B8_CX-134	0.1
3DD.003E2A2BD9_CX-70	-0.109
3DD.003E2A3295_CX-50	0.838
3DD.003E2A329A_CX-48	-0.477
3DD.003E2A2BD5_CX-97	-0.283
3DD.003E2A31FB_CX-134	0.121
3DD.003E2A3252_CX-152	-0.206
3DD.003E2A3288_CX-48	-0.496
3DD.003E2A3202_CX-144	0.398
3DD.003E2A31CF_CX-128	-0.093
3DD.003E2A2D86_CX-30	-0.22
3DD.003E2A31D4_CX-128	0.004
3DD.003E2A32C1_CX-48	-0.513
3DD.003E2A2D67_CX-35	-0.432
3DD.003E2A327B_CX-68	-0.37
3DD.003E2A31D0_CX-134	0.152
3DD.003E2A32C6_CX-57	-0.257
3DD.003E2A2DBC_CX-38	0.623
3DD.003E2A2DBA_CX-30	-0.231
3DD.003E2A32D2_CX-68	-0.345
3DD.003E09120D_CX-13	0.606
3DD.003E091183_CX-23	0.517
3DD.003E2A32C3_CX-61	-0.203
3DD.003E090FF5_CX-12	0.372
3DD.003E2A2C15_CX-72	0.954
3DD.003E09100C_CX-9	0.216
3DD.003E2A2BE7_CX-77	0.555
3DD.003E09119C_CX-30	-0.215
3DD.003E2A2BFE_CX-86	-0.515
3DD.003E2A2BD8_CX-70	-0.148
3DD.003E2A2D9A_CX-38	0.595
3DD.003E2A2C0C_CX-86	-0.495
3DD.003E09101D_CX-7	-0.218
3DD.003E2A31FC_CX-134	0.148
3DD.003E2A329C_CX-61	-0.2
3DD.003E2A320B_CX-141	-0.395
3DD.003E2A3226_CX-151	-0.554
3DD.003E2A2B23_CX-97	-0.251
3DD.003E2A32CA_CX-50	0.801
3DD.003E2A31DD_CX-125	-0.717
3DD.003E2A31EE_CX-144	0.369
3DD.003E2A31F3_CX-144	0.347
3DD.003E09104B_CX-1	0.448
3DD.003E2A2C25_CX-77	0.557
3DD.003E2A3253_CX-147	-0.102
3DD.003E2A2D84_CX-39	0.256
3DD.003E2A32CC_CX-68	-0.35
3DD.003E2A32D1_CX-68	-0.361
3DD.003E2A3275_CX-57	-0.256
3DD.003E090FEF_CX-12	0.387
3DD.003E2A32C2_CX-61	-0.139
3DD.003E2A2D52_CX-114	-1.019
3DD.003E2A3298_CX-68	-0.356
3DD.003E2A2C16_CX-72	0.952
3DD.003E2A31FE_CX-128	-0.024
3DD.003E2A2BE6_CX-77	0.541
3DD.003E091015_CX-12	0.355
3DD.003E2A3222_CX-147	-0.144
3DD.003E090FEC_CX-9	0.221
3DD.003E091038_CX-1	0.432
3DD.003E09102B_CX-13	0.613
3DD.003E2A2BD7_CX-97	-0.314
3DD.003E2A2C0B_CX-86	-0.521
3DD.003E2A31ED_CX-144	0.371
3DD.003E2A31DC_CX-125	-0.741
3DD.003E2A31E1_CX-125	-0.75
3DD.003E2A2DA8_CX-38	0.624
3DD.003E2A2D88_CX-30	-0.236
3DD.003E091045_CX-12	0.347
3DD.003E090FEB_CX-13	0.623
3DD.003E2A2D81_CX-36	-0.306
3DD.003E2A2D7C_CX-36	-0.301
3DD.003E2A321A_CX-152	-0.206
3DD.003E2A31D2_CX-134	0.099
3DD.003E09104C_CX-7	-0.207
3DD.003E2A31CD_CX-134	0.11
3DD.003E09120F_CX-13	0.615
3DD.003E2A326C_CX-155	-0.148
3DD.003E091188_CX-30	-0.23
3DD.003E2A3271_CX-155	-0.16
3DD.003E2A31B0_CX-125	-0.743
3DD.003E09100E_CX-9	0.224
3DD.003E090FF2_CX-9	0.244
3DD.003E2A320C_CX-134	0.126
3DD.003E2A2BD6_CX-70	-0.106
