id	sex
3DD.003E09101B_CX-13	F
3DD.003E2A2DC2_CX-38	F
3DD.003E2A327A_CX-48	F
3DD.003E2A3277_CX-48	F
3DD.003E2A32C1_CX-48	F
3DD.003E2A327C_CX-57	F
3DD.003E2A32B0_CX-68	F
3DD.003E2A32BA_CX-61	F
3DD.003E2A327D_CX-68	F
3DD.003E2A2C18_CX-77	F
3DD.003E2A2C08_CX-77	F
3DD.003E2A2C03_CX-86	F
3DD.003E2A2B30_CX-97	F
3DD.003E2A2D42_CX-115	F
3DD.003E2A31B3_CX-134	F
3DD.003E2A31DE_CX-141	F
3DD.003E2A3208_CX-141	F
3DD.003E2A320B_CX-141	F
3DD.003E2A31F3_CX-144	F
3DD.003E2A3253_CX-147	F
3DD.003E2A322D_CX-155	F
3DD.003E09122D_CX-13	M
3DD.003E2A2D83_CX-35	M
3DD.003E2A2D7C_CX-36	M
3DD.003E2A2D66_CX-39	M
3DD.003E2A2DAF_CX-39	M
3DD.003E2A32B6_CX-48	M
3DD.003E2A3295_CX-50	M
3DD.003E2A327B_CX-68	M
3DD.003E2A2BFA_CX-70	M
3DD.003E2A2BFC_CX-70	M
3DD.003E2A2C13_CX-70	M
3DD.003E2A2C1B_CX-72	M
3DD.003E2A2BE4_CX-77	M
3DD.003E2A2C23_CX-86	M
3DD.003E2A2C22_CX-86	M
3DD.003E2A2B43_CX-97	M
3DD.003E2A2B49_CX-97	M
3DD.003E2A2D26_CX-104	M
3DD.003E2A2D5B_CX-104	M
3DD.003E09120F_CX-13	M
3DD.003E0911CF_CX-23	M
3DD.003E0911D2_CX-30	M
3DD.003E2A2DC3_CX-39	M
3DD.003E2A3283_CX-61	M
3DD.003E2A32D2_CX-68	M
3DD.003E2A2BFD_CX-70	M
3DD.003E2A2BE8_CX-72	M
3DD.003E2A2C27_CX-72	M
3DD.003E2A31C8_CX-134	M
3DD.003E2A323E_CX-147	M
3DD.003E2A3213_CX-151	M
3DD.003E091049_CX-12	M
3DD.003E091191_CX-23	M
3DD.003E2A2D8A_CX-39	M
3DD.003E2A32CA_CX-50	M
3DD.003E2A32A9_CX-57	M
3DD.003E2A32C7_CX-61	M
3DD.003E2A329C_CX-61	M
3DD.003E2A3297_CX-61	M
3DD.003E2A32BB_CX-61	M
3DD.003E2A3276_CX-68	M
3DD.003E2A2C11_CX-77	M
3DD.003E2A2C0C_CX-86	M
3DD.003E2A2D31_CX-104	M
3DD.003E2A2D37_CX-115	M
3DD.003E2A31E0_CX-144	M
3DD.003E2A31ED_CX-144	M
3DD.003E09100D_CX-7	M
3DD.003E0911D0_CX-23	M
3DD.003E2A2D8C_CX-39	M
3DD.003E2A32AE_CX-48	M
3DD.003E2A328E_CX-57	M
3DD.003E2A2BF2_CX-72	M
3DD.003E2A2BFB_CX-86	M
3DD.003E2A2BED_CX-86	M
3DD.003E2A2B17_CX-97	M
3DD.003E2A2D43_CX-114	M
3DD.003E2A2D56_CX-115	M
3DD.003E2A31B9_CX-115	M
3DD.003E2A31F6_CX-115	M
3DD.003E2A31DC_CX-125	M
3DD.003E2A31D4_CX-128	M
3DD.003E2A31EE_CX-144	M
